(-122.10475, 37.43163)
(-122.10494, 37.43181)
(-122.10504, 37.43191)
(-122.10525, 37.4321)
(-122.10525, 37.43211)
(-122.10535, 37.4322)
(-122.10549, 37.43233)
(-122.1068, 37.43358)
(-122.10737, 37.43412)
(-122.10823, 37.43495)
(-122.10829, 37.435)
(-122.10854, 37.43524)
(-122.10885, 37.43555)
(-122.10969, 37.43635)
(-122.11118, 37.43777)
(-122.11129, 37.43787)
(-122.11261, 37.43913)
(-122.11273, 37.43924)
(-122.11285, 37.43936)
(-122.11351, 37.43999)
(-122.11384, 37.4403)
(-122.11417, 37.44063)
(-122.11474, 37.44117)
(-122.11488, 37.44131)
(-122.1149, 37.44133)
(-122.11562, 37.44201)
(-122.11645, 37.4428)
(-122.11668, 37.44301)
(-122.11694, 37.44326)
(-122.11701, 37.4434)
(-122.11707, 37.4435)
(-122.11714, 37.44357)
(-122.1172, 37.44362)
(-122.11728, 37.44371)
(-122.11739, 37.44384)
(-122.11748, 37.44395)
(-122.11763, 37.44411)
(-122.1177, 37.44419)
(-122.11778, 37.44429)
(-122.11787, 37.44438)
(-122.11794, 37.44445)
(-122.11798, 37.4445)
(-122.11809, 37.4446)
(-122.11818, 37.44468)
(-122.11849, 37.44496)
(-122.11867, 37.44513)
(-122.11883, 37.44529)
(-122.11886, 37.44532)
(-122.11893, 37.4454)
(-122.11902, 37.44551)
(-122.11909, 37.44561)
(-122.11913, 37.44568)
(-122.11916, 37.44575)
(-122.11918, 37.44581)
(-122.11919, 37.4459)
(-122.11919, 37.446)
(-122.11919, 37.44607)
(-122.11917, 37.44615)
(-122.11911, 37.44636)
(-122.11909, 37.44643)
(-122.119, 37.44674)
(-122.11899, 37.44679)
(-122.11899, 37.44684)
(-122.11898, 37.44689)
(-122.11899, 37.44695)
(-122.119, 37.44699)
(-122.11902, 37.44705)
(-122.11904, 37.4471)
(-122.11907, 37.44715)
(-122.1191, 37.4472)
(-122.11914, 37.44724)
(-122.11918, 37.44727)
(-122.11921, 37.4473)
(-122.11924, 37.44732)
(-122.11927, 37.44735)
(-122.1193, 37.44737)
(-122.11933, 37.44739)
(-122.11937, 37.4474)
(-122.11941, 37.44743)
(-122.11947, 37.44745)
(-122.1195, 37.44746)
(-122.11954, 37.44747)
(-122.11957, 37.44747)
(-122.11962, 37.44748)
(-122.11966, 37.44749)
(-122.11972, 37.44749)
(-122.11975, 37.4475)
(-122.11977, 37.4475)
(-122.11985, 37.4475)
(-122.11991, 37.44749)
(-122.11996, 37.44748)
(-122.11997, 37.44748)
(-122.12001, 37.44747)
(-122.12005, 37.44746)
(-122.12009, 37.44745)
(-122.12014, 37.44743)
(-122.12018, 37.44741)
(-122.12034, 37.44732)
(-122.12084, 37.44704)
(-122.12129, 37.44679)
(-122.12166, 37.44659)
(-122.1221, 37.44635)
(-122.12241, 37.44618)
(-122.12252, 37.44612)
(-122.12277, 37.44597)
(-122.1228, 37.44595)
(-122.12294, 37.44586)
(-122.12306, 37.44579)
(-122.12313, 37.44573)
(-122.12323, 37.44565)
(-122.12338, 37.44552)
(-122.12351, 37.44539)
(-122.12368, 37.44522)
(-122.12377, 37.44514)
(-122.12383, 37.44507)
(-122.12405, 37.44486)
(-122.12414, 37.44476)
(-122.12437, 37.44453)
(-122.12476, 37.44413)
(-122.12507, 37.44383)
(-122.12511, 37.44379)
(-122.12523, 37.44367)
(-122.12535, 37.44354)
(-122.1256, 37.44329)
(-122.12762, 37.44125)
(-122.12783, 37.44104)
(-122.12797, 37.44089)
(-122.12818, 37.44067)
(-122.12828, 37.44058)
(-122.12879, 37.44006)
(-122.12972, 37.43911)
(-122.13028, 37.43855)
(-122.13068, 37.43815)
(-122.13205, 37.43679)
(-122.13271, 37.4361)
(-122.13305, 37.43576)
(-122.13438, 37.43444)
(-122.13508, 37.43375)
(-122.1355, 37.43336)
(-122.13627, 37.43258)
(-122.13671, 37.43217)
(-122.13747, 37.4314)
(-122.13783, 37.43103)
(-122.1379, 37.43096)
(-122.13797, 37.43089)
(-122.13887, 37.42999)
(-122.13915, 37.4297)
(-122.13944, 37.42942)
(-122.13972, 37.42914)
(-122.13979, 37.42907)
(-122.13984, 37.42903)
(-122.13988, 37.42898)
(-122.13992, 37.42892)
(-122.13995, 37.42887)
(-122.13996, 37.42884)
(-122.13999, 37.42877)
(-122.14003, 37.42869)
(-122.14004, 37.42859)
(-122.14005, 37.42841)
(-122.14005, 37.42823)
(-122.14008, 37.42784)
(-122.14012, 37.42712)
(-122.14012, 37.42694)
(-122.14013, 37.42676)
(-122.14015, 37.42641)
(-122.14016, 37.42611)
(-122.14017, 37.42587)
(-122.14018, 37.42575)
(-122.14019, 37.42564)
(-122.14021, 37.42556)
(-122.14021, 37.42555)
(-122.14023, 37.42549)
(-122.14027, 37.42538)
(-122.14027, 37.42537)
(-122.14032, 37.42525)
(-122.14035, 37.42519)
(-122.14043, 37.42504)
(-122.14049, 37.42494)
(-122.14057, 37.42484)
(-122.14082, 37.42456)
(-122.1411, 37.42426)
(-122.14124, 37.42409)
(-122.14164, 37.42361)
(-122.14203, 37.42317)
(-122.14204, 37.42316)
(-122.14214, 37.42303)
(-122.14236, 37.42278)
(-122.14305, 37.42197)
(-122.1432, 37.4218)
(-122.14372, 37.42119)
(-122.14379, 37.42111)
(-122.14417, 37.42066)
(-122.14445, 37.42029)
(-122.14496, 37.41967)
(-122.14514, 37.41946)
(-122.14564, 37.41888)
(-122.14603, 37.41842)
(-122.14651, 37.41783)
(-122.147, 37.41722)
(-122.14696, 37.4172)
(-122.14688, 37.41716)
(-122.14642, 37.41693)
(-122.14624, 37.41683)
(-122.1459, 37.41666)
(-122.14576, 37.41659)
(-122.1454, 37.4164)
(-122.14528, 37.41634)
(-122.14525, 37.41632)
(-122.14517, 37.41629)
(-122.14505, 37.41622)
(-122.14477, 37.41608)
(-122.14403, 37.41571)
(-122.14384, 37.41561)
(-122.14351, 37.41545)
